Gene	UniProtID	Accession	Protein_Name	Terms(GO/InterPro)	Term_Description	Term_namespace/type
prs	P57266	KPRS_BUCAI	Ribose-phosphate pyrophosphokinase	GO:0009156	ribonucleoside monophosphate biosynthetic process	P
prs	P57266	KPRS_BUCAI	Ribose-phosphate pyrophosphokinase	GO:0044249	cellular biosynthetic process	P
prs	P57266	KPRS_BUCAI	Ribose-phosphate pyrophosphokinase	IPR000836	Phosphoribosyltransferase domain	domain
prs	P57266	KPRS_BUCAI	Ribose-phosphate pyrophosphokinase	IPR000842	Phosphoribosyl pyrophosphate synthetase, conserved site	conserved_site
prs	P57266	KPRS_BUCAI	Ribose-phosphate pyrophosphokinase	IPR005946	Ribose-phosphate pyrophosphokinase	family
prs	P57266	KPRS_BUCAI	Ribose-phosphate pyrophosphokinase	IPR029057	Phosphoribosyltransferase-like	homologous_superfamily
prs	P57266	KPRS_BUCAI	Ribose-phosphate pyrophosphokinase	IPR029099	Ribose-phosphate pyrophosphokinase, N-terminal domain	domain
prs	P57266	KPRS_BUCAI	Ribose-phosphate pyrophosphokinase	IPR037515	Ribose-phosphate pyrophosphokinase, bacterial-type	family
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	GO:0016491	oxidoreductase activity	F
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	GO:0050661	NADP binding	F
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	GO:0006520	amino acid metabolic process	P
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	GO:0004072	aspartate kinase activity	F
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	GO:0004412	homoserine dehydrogenase activity	F
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	GO:0009067	aspartate family amino acid biosynthetic process	P
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	GO:0008652	amino acid biosynthetic process	P
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR001048	Aspartate/glutamate/uridylate kinase	domain
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR001341	Aspartate kinase	family
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR001342	Homoserine dehydrogenase, catalytic	domain
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR002912	ACT domain	domain
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR005106	Aspartate/homoserine dehydrogenase, NAD-binding	domain
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR011147	Bifunctional aspartokinase/homoserine dehydrogenase-like	domain
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR018042	Aspartate kinase, conserved site	conserved_site
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR019811	Homoserine dehydrogenase, conserved site	conserved_site
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR036291	NAD(P)-binding domain superfamily	homologous_superfamily
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR036393	Acetylglutamate kinase-like superfamily	homologous_superfamily
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR041743	Bifunctional aspartokinase/homoserine dehydrogenase, N-terminal catalytic domain	domain
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR042199	Aspartokinase/Bifunctional aspartokinase/homoserine dehydrogenase, catalytic domain	homologous_superfamily
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR045865	ACT-like domain	homologous_superfamily
thrA	P57290	AKH_BUCAI	Bifunctional aspartokinase/homoserine dehydrogenase	IPR049638	Bifunctional aspartokinase/homoserine dehydrogenase	family
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	GO:0008658	penicillin binding	F
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	GO:0008233	peptidase activity	F
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	GO:0008955	peptidoglycan glycosyltransferase activity	F
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	GO:0009252	peptidoglycan biosynthetic process	P
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	GO:0046677	response to antibiotic	P
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	GO:0009274	peptidoglycan-based cell wall	C
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	IPR001264	Glycosyl transferase, family 51	domain
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	IPR001460	Penicillin-binding protein, transpeptidase	domain
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	IPR011813	Penicillin-binding protein 1B	family
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	IPR012338	Beta-lactamase/transpeptidase-like	homologous_superfamily
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	IPR023346	Lysozyme-like domain superfamily	homologous_superfamily
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	IPR028166	Bifunctional transglycosylase second domain	domain
mrcB	P57296	PBPB_BUCAI	Penicillin-binding protein 1B	IPR036950	Penicillin binding protein transglycosylase domain	homologous_superfamily
mtnN	P57306	MTNN_BUCAI	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	GO:0003824	catalytic activity	F
mtnN	P57306	MTNN_BUCAI	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	GO:0009116	nucleoside metabolic process	P
mtnN	P57306	MTNN_BUCAI	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	GO:0008782	adenosylhomocysteine nucleosidase activity	F
mtnN	P57306	MTNN_BUCAI	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	GO:0008930	methylthioadenosine nucleosidase activity	F
mtnN	P57306	MTNN_BUCAI	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	GO:0009164	nucleoside catabolic process	P
mtnN	P57306	MTNN_BUCAI	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	GO:0019509	L-methionine salvage from methylthioadenosine	P
mtnN	P57306	MTNN_BUCAI	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	IPR000845	Nucleoside phosphorylase domain	domain
mtnN	P57306	MTNN_BUCAI	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	IPR010049	MTA/SAH nucleosidase	family
mtnN	P57306	MTNN_BUCAI	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	IPR035994	Nucleoside phosphorylase superfamily	homologous_superfamily
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	GO:0016881	acid-amino acid ligase activity	F
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	GO:0009058	biosynthetic process	P
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	GO:0005524	ATP binding	F
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	GO:0008360	regulation of cell shape	P
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	GO:0051301	cell division	P
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	GO:0005737	cytoplasm	C
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	IPR000713	Mur ligase, N-terminal catalytic domain	domain
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	IPR004101	Mur ligase, C-terminal	domain
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	IPR005761	UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase	family
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	IPR013221	Mur ligase, central	domain
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	IPR035911	MurE/MurF, N-terminal	homologous_superfamily
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	IPR036565	Mur-like, catalytic domain superfamily	homologous_superfamily
murE	P57316	MURE_BUCAI	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	IPR036615	Mur ligase, C-terminal domain superfamily	homologous_superfamily
gpt	P57339	XGPT_BUCAI	Xanthine-guanine phosphoribosyltransferase	GO:0000310	xanthine phosphoribosyltransferase activity	F
gpt	P57339	XGPT_BUCAI	Xanthine-guanine phosphoribosyltransferase	IPR000836	Phosphoribosyltransferase domain	domain
gpt	P57339	XGPT_BUCAI	Xanthine-guanine phosphoribosyltransferase	IPR023747	Xanthine-guanine phosphoribosyltransferase	family
gpt	P57339	XGPT_BUCAI	Xanthine-guanine phosphoribosyltransferase	IPR029057	Phosphoribosyltransferase-like	homologous_superfamily
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	GO:0003677	DNA binding	F
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	GO:0003916	DNA topoisomerase activity	F
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	GO:0006265	DNA topological change	P
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	GO:0003917	DNA topoisomerase type I (single strand cut, ATP-independent) activity	F
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR000380	DNA topoisomerase, type IA	family
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR003601	DNA topoisomerase, type IA, domain 2	domain
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR003602	DNA topoisomerase, type IA, DNA-binding domain	domain
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR005733	DNA topoisomerase I, bacterial-type	family
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR006171	TOPRIM domain	domain
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR013263	DNA topoisomerase I, zinc ribbon-like, bacterial-type	domain
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR013497	DNA topoisomerase, type IA, central	domain
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR013824	DNA topoisomerase, type IA, central region, subdomain 1	homologous_superfamily
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR013825	DNA topoisomerase, type IA, central region, subdomain 2	homologous_superfamily
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR013826	DNA topoisomerase, type IA, central region, subdomain 3	homologous_superfamily
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR023405	DNA topoisomerase, type IA, core domain	homologous_superfamily
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR023406	DNA topoisomerase, type IA, active site	active_site
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR028612	DNA topoisomerase I, type IA	family
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR034149	DNA topoisomerase 1, TOPRIM domain	domain
topA	P57371	TOP1_BUCAI	DNA topoisomerase 1	IPR049330	Topoisomerase I, zinc finger	domain
rlmN	P57373	RLMN_BUCAI	Dual-specificity RNA methyltransferase RlmN	GO:0003824	catalytic activity	F
rlmN	P57373	RLMN_BUCAI	Dual-specificity RNA methyltransferase RlmN	GO:0051536	iron-sulfur cluster binding	F
rlmN	P57373	RLMN_BUCAI	Dual-specificity RNA methyltransferase RlmN	GO:0030488	tRNA methylation	P
rlmN	P57373	RLMN_BUCAI	Dual-specificity RNA methyltransferase RlmN	GO:0070475	rRNA base methylation	P
rlmN	P57373	RLMN_BUCAI	Dual-specificity RNA methyltransferase RlmN	GO:0008173	RNA methyltransferase activity	F
rlmN	P57373	RLMN_BUCAI	Dual-specificity RNA methyltransferase RlmN	GO:0006364	rRNA processing	P
rlmN	P57373	RLMN_BUCAI	Dual-specificity RNA methyltransferase RlmN	IPR004383	Ribosomal RNA large subunit methyltransferase RlmN/Cfr	family
rlmN	P57373	RLMN_BUCAI	Dual-specificity RNA methyltransferase RlmN	IPR007197	Radical SAM	domain
rlmN	P57373	RLMN_BUCAI	Dual-specificity RNA methyltransferase RlmN	IPR013785	Aldolase-type TIM barrel	homologous_superfamily
rlmN	P57373	RLMN_BUCAI	Dual-specificity RNA methyltransferase RlmN	IPR027492	Dual-specificity RNA methyltransferase RlmN	family
rlmN	P57373	RLMN_BUCAI	Dual-specificity RNA methyltransferase RlmN	IPR040072	Methyltransferase (Class A)	family
rlmN	P57373	RLMN_BUCAI	Dual-specificity RNA methyltransferase RlmN	IPR048641	Dual-specificity RNA methyltransferase RlmN, N-terminal domain	domain
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	GO:0016887	ATP hydrolysis activity	F
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	GO:0005524	ATP binding	F
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	GO:0004176	ATP-dependent peptidase activity	F
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	GO:0004222	metalloendopeptidase activity	F
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	GO:0006508	proteolysis	P
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	GO:0016020	membrane	C
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	GO:0008270	zinc ion binding	F
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	IPR000642	Peptidase M41	domain
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	IPR003593	AAA+ ATPase domain	domain
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	IPR003959	ATPase, AAA-type, core	domain
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	IPR003960	ATPase, AAA-type, conserved site	conserved_site
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	IPR005936	ATP-dependent zinc metalloprotease, FtsH	family
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	IPR011546	Peptidase M41, FtsH extracellular	domain
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	IPR027417	P-loop containing nucleoside triphosphate hydrolase	homologous_superfamily
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	IPR037219	Peptidase M41-like	homologous_superfamily
ftsH	P57462	FTSH_BUCAI	ATP-dependent zinc metalloprotease FtsH	IPR041569	AAA ATPase, AAA+ lid domain	domain
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	GO:0046417	chorismate metabolic process	P
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	GO:0004664	prephenate dehydratase activity	F
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	GO:0009094	L-phenylalanine biosynthetic process	P
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	GO:0004106	chorismate mutase activity	F
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	GO:0005737	cytoplasm	C
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	IPR001086	Prephenate dehydratase	domain
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	IPR002701	Chorismate mutase II, prokaryotic-type	domain
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	IPR002912	ACT domain	domain
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	IPR008242	Bifunctional P-protein, chorismate mutase/prephenate dehydratase	family
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	IPR010952	Chorismate mutase, gammaproteobacteria	domain
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	IPR018528	Prephenate dehydratase, conserved site	conserved_site
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	IPR036263	Chorismate mutase type II superfamily	homologous_superfamily
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	IPR036979	Chorismate mutase domain superfamily	homologous_superfamily
pheA	P57472	CMPDT_BUCAI	Bifunctional chorismate mutase/prephenate dehydratase	IPR045865	ACT-like domain	homologous_superfamily
pyrG	P57491	PYRG_BUCAI	CTP synthase	GO:0003883	CTP synthase activity	F
pyrG	P57491	PYRG_BUCAI	CTP synthase	GO:0006221	pyrimidine nucleotide biosynthetic process	P
pyrG	P57491	PYRG_BUCAI	CTP synthase	GO:0006241	CTP biosynthetic process	P
pyrG	P57491	PYRG_BUCAI	CTP synthase	IPR004468	CTP synthase	family
pyrG	P57491	PYRG_BUCAI	CTP synthase	IPR017456	CTP synthase, N-terminal	domain
pyrG	P57491	PYRG_BUCAI	CTP synthase	IPR017926	Glutamine amidotransferase	domain
pyrG	P57491	PYRG_BUCAI	CTP synthase	IPR027417	P-loop containing nucleoside triphosphate hydrolase	homologous_superfamily
pyrG	P57491	PYRG_BUCAI	CTP synthase	IPR029062	Class I glutamine amidotransferase-like	homologous_superfamily
pyrG	P57491	PYRG_BUCAI	CTP synthase	IPR033828	CTP synthase GATase domain	domain
cysG	P57500	CYSG_BUCAI	Siroheme synthase	GO:0006779	porphyrin-containing compound biosynthetic process	P
cysG	P57500	CYSG_BUCAI	Siroheme synthase	GO:0008168	methyltransferase activity	F
cysG	P57500	CYSG_BUCAI	Siroheme synthase	GO:0019354	siroheme biosynthetic process	P
cysG	P57500	CYSG_BUCAI	Siroheme synthase	GO:0004851	uroporphyrin-III C-methyltransferase activity	F
cysG	P57500	CYSG_BUCAI	Siroheme synthase	GO:0043115	precorrin-2 dehydrogenase activity	F
cysG	P57500	CYSG_BUCAI	Siroheme synthase	GO:0051266	sirohydrochlorin ferrochelatase activity	F
cysG	P57500	CYSG_BUCAI	Siroheme synthase	GO:0051287	NAD binding	F
cysG	P57500	CYSG_BUCAI	Siroheme synthase	GO:0009236	cobalamin biosynthetic process	P
cysG	P57500	CYSG_BUCAI	Siroheme synthase	IPR000878	Tetrapyrrole methylase	domain
cysG	P57500	CYSG_BUCAI	Siroheme synthase	IPR003043	Uroporphiryn-III C-methyltransferase, conserved site	conserved_site
cysG	P57500	CYSG_BUCAI	Siroheme synthase	IPR006366	Uroporphyrin-III C-methyltransferase	domain
cysG	P57500	CYSG_BUCAI	Siroheme synthase	IPR006367	Sirohaem synthase, N-terminal	domain
cysG	P57500	CYSG_BUCAI	Siroheme synthase	IPR012409	Sirohaem synthase	family
cysG	P57500	CYSG_BUCAI	Siroheme synthase	IPR014776	Tetrapyrrole methylase, subdomain 2	homologous_superfamily
cysG	P57500	CYSG_BUCAI	Siroheme synthase	IPR014777	Tetrapyrrole methylase, subdomain 1	homologous_superfamily
cysG	P57500	CYSG_BUCAI	Siroheme synthase	IPR019478	Sirohaem synthase, dimerisation domain	domain
cysG	P57500	CYSG_BUCAI	Siroheme synthase	IPR035996	Tetrapyrrole methylase superfamily	homologous_superfamily
cysG	P57500	CYSG_BUCAI	Siroheme synthase	IPR036291	NAD(P)-binding domain superfamily	homologous_superfamily
cysG	P57500	CYSG_BUCAI	Siroheme synthase	IPR037115	Sirohaem synthase, dimerisation domain superfamily	homologous_superfamily
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	F
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	GO:0051287	NAD binding	F
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	GO:0046983	protein dimerization activity	F
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	GO:0008652	amino acid biosynthetic process	P
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	GO:0004073	aspartate-semialdehyde dehydrogenase activity	F
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	GO:0050661	NADP binding	F
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	GO:0009086	methionine biosynthetic process	P
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	GO:0009088	threonine biosynthetic process	P
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	GO:0009089	lysine biosynthetic process via diaminopimelate	P
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	GO:0009097	isoleucine biosynthetic process	P
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	GO:0006520	amino acid metabolic process	P
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	IPR000319	Aspartate-semialdehyde dehydrogenase, conserved site	conserved_site
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	IPR000534	Semialdehyde dehydrogenase, NAD-binding	domain
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	IPR011534	Aspartate-semialdehyde dehydrogenase, gamma-type	family
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	IPR012080	Aspartate-semialdehyde dehydrogenase	family
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	IPR012280	Semialdehyde dehydrogenase, dimerisation domain	domain
asd	P57523	DHAS_BUCAI	Aspartate-semialdehyde dehydrogenase	IPR036291	NAD(P)-binding domain superfamily	homologous_superfamily
cyoB	P57543	CYOB_BUCAI	Cytochrome bo(3) ubiquinol oxidase subunit 1	GO:0004129	cytochrome-c oxidase activity	F
cyoB	P57543	CYOB_BUCAI	Cytochrome bo(3) ubiquinol oxidase subunit 1	GO:0020037	heme binding	F
cyoB	P57543	CYOB_BUCAI	Cytochrome bo(3) ubiquinol oxidase subunit 1	GO:0009060	aerobic respiration	P
cyoB	P57543	CYOB_BUCAI	Cytochrome bo(3) ubiquinol oxidase subunit 1	GO:0016020	membrane	C
cyoB	P57543	CYOB_BUCAI	Cytochrome bo(3) ubiquinol oxidase subunit 1	GO:0016682	oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor	F
cyoB	P57543	CYOB_BUCAI	Cytochrome bo(3) ubiquinol oxidase subunit 1	IPR000883	Cytochrome c oxidase subunit I	family
cyoB	P57543	CYOB_BUCAI	Cytochrome bo(3) ubiquinol oxidase subunit 1	IPR014207	Cytochrome o ubiquinol oxidase, subunit I	family
cyoB	P57543	CYOB_BUCAI	Cytochrome bo(3) ubiquinol oxidase subunit 1	IPR023615	Cytochrome c oxidase, subunit I, copper-binding site	binding_site
cyoB	P57543	CYOB_BUCAI	Cytochrome bo(3) ubiquinol oxidase subunit 1	IPR023616	Cytochrome c oxidase-like, subunit I domain	domain
cyoB	P57543	CYOB_BUCAI	Cytochrome bo(3) ubiquinol oxidase subunit 1	IPR036927	Cytochrome c oxidase-like, subunit I superfamily	homologous_superfamily
tuf	O31297	EFTU_BUCAI	Elongation factor Tu	GO:0003924	GTPase activity	F
tuf	O31297	EFTU_BUCAI	Elongation factor Tu	GO:0005525	GTP binding	F
tuf	O31297	EFTU_BUCAI	Elongation factor Tu	GO:0003746	translation elongation factor activity	F
tuf	O31297	EFTU_BUCAI	Elongation factor Tu	GO:0006414	translational elongation	P
tuf	O31297	EFTU_BUCAI	Elongation factor Tu	IPR000795	Translational (tr)-type GTP-binding domain	domain
