encabezado	informacion
777 	 sp|P57549|LON_BUCAI 	 FunFam 	 1
473 	 sp|P57303|DLDH_BUCAI 	 Gene3D 	 150
478 	 sp|P57322|DEGP_BUCAI 	 Gene3D 	 42
478 	 sp|P57322|DEGP_BUCAI 	 Pfam 	 397
478 	 sp|P57322|DEGP_BUCAI 	 Pfam 	 116
478 	 sp|P57322|DEGP_BUCAI 	 PRINTS 	 126
478 	 sp|P57322|DEGP_BUCAI 	 PRINTS 	 188
478 	 sp|P57322|DEGP_BUCAI 	 PRINTS 	 223
478 	 sp|P57322|DEGP_BUCAI 	 PRINTS 	 245
478 	 sp|P57322|DEGP_BUCAI 	 PRINTS 	 331
478 	 sp|P57322|DEGP_BUCAI 	 PRINTS 	 147
478 	 sp|P57322|DEGP_BUCAI 	 FunFam 	 289
478 	 sp|P57322|DEGP_BUCAI 	 FunFam 	 42
478 	 sp|P57322|DEGP_BUCAI 	 Pfam 	 291
478 	 sp|P57322|DEGP_BUCAI 	 NCBIfam 	 44
478 	 sp|P57322|DEGP_BUCAI 	 Gene3D 	 390
478 	 sp|P57322|DEGP_BUCAI 	 CDD 	 396
478 	 sp|P57322|DEGP_BUCAI 	 SUPERFAMILY 	 43
478 	 sp|P57322|DEGP_BUCAI 	 SUPERFAMILY 	 395
478 	 sp|P57322|DEGP_BUCAI 	 SMART 	 291
478 	 sp|P57322|DEGP_BUCAI 	 SMART 	 395
478 	 sp|P57322|DEGP_BUCAI 	 CDD 	 293
478 	 sp|P57322|DEGP_BUCAI 	 ProSiteProfiles 	 282
478 	 sp|P57322|DEGP_BUCAI 	 Gene3D 	 286
478 	 sp|P57322|DEGP_BUCAI 	 PANTHER 	 377
478 	 sp|P57322|DEGP_BUCAI 	 SUPERFAMILY 	 249
206 	 sp|P57567|RS4_BUCAI 	 Pfam 	 3
206 	 sp|P57567|RS4_BUCAI 	 Gene3D 	 3
206 	 sp|P57567|RS4_BUCAI 	 FunFam 	 3
206 	 sp|P57567|RS4_BUCAI 	 ProSitePatterns 	 94
206 	 sp|P57567|RS4_BUCAI 	 PANTHER 	 3
206 	 sp|P57567|RS4_BUCAI 	 FunFam 	 95
206 	 sp|P57567|RS4_BUCAI 	 Pfam 	 97
206 	 sp|P57567|RS4_BUCAI 	 CDD 	 97
206 	 sp|P57567|RS4_BUCAI 	 Hamap 	 1
206 	 sp|P57567|RS4_BUCAI 	 SUPERFAMILY 	 4
206 	 sp|P57567|RS4_BUCAI 	 SMART 	 96
206 	 sp|P57567|RS4_BUCAI 	 Gene3D 	 95
206 	 sp|P57567|RS4_BUCAI 	 ProSiteProfiles 	 96
206 	 sp|P57567|RS4_BUCAI 	 SMART 	 3
206 	 sp|P57567|RS4_BUCAI 	 NCBIfam 	 3
632 	 sp|P57635|PTM3C_BUCAI 	 ProSiteProfiles 	 374
632 	 sp|P57635|PTM3C_BUCAI 	 Gene3D 	 363
632 	 sp|P57635|PTM3C_BUCAI 	 ProSitePatterns 	 533
632 	 sp|P57635|PTM3C_BUCAI 	 Pfam 	 376
632 	 sp|P57635|PTM3C_BUCAI 	 Gene3D 	 485
632 	 sp|P57635|PTM3C_BUCAI 	 ProSiteProfiles 	 488
632 	 sp|P57635|PTM3C_BUCAI 	 CDD 	 374
632 	 sp|P57635|PTM3C_BUCAI 	 FunFam 	 362
632 	 sp|P57635|PTM3C_BUCAI 	 Pfam 	 490
632 	 sp|P57635|PTM3C_BUCAI 	 ProSiteProfiles 	 12
632 	 sp|P57635|PTM3C_BUCAI 	 SUPERFAMILY 	 372
632 	 sp|P57635|PTM3C_BUCAI 	 CDD 	 490
632 	 sp|P57635|PTM3C_BUCAI 	 PANTHER 	 488
632 	 sp|P57635|PTM3C_BUCAI 	 SUPERFAMILY 	 489
632 	 sp|P57635|PTM3C_BUCAI 	 Pfam 	 17
379 	 sp|P57184|FLIP_BUCAI 	 ProSitePatterns 	 354
379 	 sp|P57184|FLIP_BUCAI 	 Pfam 	 42
379 	 sp|P57184|FLIP_BUCAI 	 NCBIfam 	 31
379 	 sp|P57184|FLIP_BUCAI 	 NCBIfam 	 181
379 	 sp|P57184|FLIP_BUCAI 	 PRINTS 	 367
379 	 sp|P57184|FLIP_BUCAI 	 PRINTS 	 237
379 	 sp|P57184|FLIP_BUCAI 	 PRINTS 	 299
379 	 sp|P57184|FLIP_BUCAI 	 PRINTS 	 277
379 	 sp|P57184|FLIP_BUCAI 	 PRINTS 	 249
379 	 sp|P57184|FLIP_BUCAI 	 PRINTS 	 177
379 	 sp|P57184|FLIP_BUCAI 	 Pfam 	 182
379 	 sp|P57184|FLIP_BUCAI 	 ProSitePatterns 	 306
379 	 sp|P57184|FLIP_BUCAI 	 PANTHER 	 143
379 	 sp|P57184|FLIP_BUCAI 	 PRINTS 	 198
379 	 sp|P57184|FLIP_BUCAI 	 PRINTS 	 327
379 	 sp|P57184|FLIP_BUCAI 	 PRINTS 	 218
379 	 sp|P57184|FLIP_BUCAI 	 PRINTS 	 306
379 	 sp|P57184|FLIP_BUCAI 	 PRINTS 	 179
379 	 sp|P57184|FLIP_BUCAI 	 PRINTS 	 351
372 	 sp|P57426|FLGI_BUCAI 	 Hamap 	 7
372 	 sp|P57426|FLGI_BUCAI 	 PRINTS 	 110
372 	 sp|P57426|FLGI_BUCAI 	 PRINTS 	 62
372 	 sp|P57426|FLGI_BUCAI 	 PRINTS 	 257
372 	 sp|P57426|FLGI_BUCAI 	 PRINTS 	 42
372 	 sp|P57426|FLGI_BUCAI 	 PRINTS 	 27
372 	 sp|P57426|FLGI_BUCAI 	 PRINTS 	 88
372 	 sp|P57426|FLGI_BUCAI 	 PRINTS 	 127
372 	 sp|P57426|FLGI_BUCAI 	 PRINTS 	 168
372 	 sp|P57426|FLGI_BUCAI 	 PRINTS 	 194
372 	 sp|P57426|FLGI_BUCAI 	 Pfam 	 27
372 	 sp|P57426|FLGI_BUCAI 	 PANTHER 	 3
215 	 sp|P57556|KAD_BUCAI 	 Hamap 	 1
215 	 sp|P57556|KAD_BUCAI 	 FunFam 	 1
215 	 sp|P57556|KAD_BUCAI 	 NCBIfam 	 2
215 	 sp|P57556|KAD_BUCAI 	 Pfam 	 123
215 	 sp|P57556|KAD_BUCAI 	 SUPERFAMILY 	 1
215 	 sp|P57556|KAD_BUCAI 	 PANTHER 	 2
215 	 sp|P57556|KAD_BUCAI 	 CDD 	 2
215 	 sp|P57556|KAD_BUCAI 	 ProSitePatterns 	 81
215 	 sp|P57556|KAD_BUCAI 	 PRINTS 	 32
215 	 sp|P57556|KAD_BUCAI 	 PRINTS 	 4
215 	 sp|P57556|KAD_BUCAI 	 PRINTS 	 81
215 	 sp|P57556|KAD_BUCAI 	 PRINTS 	 156
215 	 sp|P57556|KAD_BUCAI 	 PRINTS 	 173
215 	 sp|P57556|KAD_BUCAI 	 Pfam 	 5
215 	 sp|P57556|KAD_BUCAI 	 Gene3D 	 1
802 	 sp|P57504|MUTS_BUCAI 	 ProSitePatterns 	 691
802 	 sp|P57504|MUTS_BUCAI 	 PIRSF 	 6
802 	 sp|P57504|MUTS_BUCAI 	 SMART 	 610
802 	 sp|P57504|MUTS_BUCAI 	 Gene3D 	 4
802 	 sp|P57504|MUTS_BUCAI 	 SUPERFAMILY 	 6
802 	 sp|P57504|MUTS_BUCAI 	 SUPERFAMILY 	 120
802 	 sp|P57504|MUTS_BUCAI 	 FunFam 	 271
802 	 sp|P57504|MUTS_BUCAI 	 Hamap 	 13
802 	 sp|P57504|MUTS_BUCAI 	 Pfam 	 432
802 	 sp|P57504|MUTS_BUCAI 	 FunFam 	 571
802 	 sp|P57504|MUTS_BUCAI 	 SUPERFAMILY 	 274
802 	 sp|P57504|MUTS_BUCAI 	 Pfam 	 14
802 	 sp|P57504|MUTS_BUCAI 	 Pfam 	 134
802 	 sp|P57504|MUTS_BUCAI 	 Gene3D 	 390
802 	 sp|P57504|MUTS_BUCAI 	 PANTHER 	 16
802 	 sp|P57504|MUTS_BUCAI 	 FunFam 	 7
802 	 sp|P57504|MUTS_BUCAI 	 NCBIfam 	 13
802 	 sp|P57504|MUTS_BUCAI 	 Gene3D 	 571
802 	 sp|P57504|MUTS_BUCAI 	 Gene3D 	 133
802 	 sp|P57504|MUTS_BUCAI 	 Pfam 	 275
